#TYPE Microsoft.ActiveDirectory.Management.ADComputer
"DistinguishedName","DNSHostName","Enabled","Name","ObjectClass","ObjectGUID","SamAccountName","SID","UserPrincipalName"
"CN=MAILHUBS2,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mailhubs2.atl.careerbuilder.com","True","MAILHUBS2","computer","a88edb41-a7b5-45c5-ba33-7b54185930d8","mailhubs2$","S-1-5-21-839522115-261903793-1417001333-18633",
"CN=mailhubs4,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mailhubs4.atl.careerbuilder.com","True","mailhubs4","computer","eee42a77-f22a-4bc5-aaeb-7156384b3a93","mailhubs4$","S-1-5-21-839522115-261903793-1417001333-10734",
"CN=MAILPSA100,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mailpsa100.atl.careerbuilder.com","True","MAILPSA100","computer","9537b3a2-8145-4638-ae67-46b3ed8eeb84","mailpsa100$","S-1-5-21-839522115-261903793-1417001333-18624",
"CN=MAILPSA110,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mailpsa110.atl.careerbuilder.com","True","MAILPSA110","computer","8fa7bb72-46cb-4215-9131-0852fe462cb5","mailpsa110$","S-1-5-21-839522115-261903793-1417001333-18626",
"CN=MAILPSA120,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mailpsa120.atl.careerbuilder.com","True","MAILPSA120","computer","ccca5048-638e-4405-a08f-f78cb6b5e17e","mailpsa120$","S-1-5-21-839522115-261903793-1417001333-18625",
"CN=MAILPSA160,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mailpsa160.atl.careerbuilder.com","True","MAILPSA160","computer","761ee397-4696-4d9e-83c3-496b18429e56","mailpsa160$","S-1-5-21-839522115-261903793-1417001333-18628",
"CN=MAILPSA190,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mailpsa190.atl.careerbuilder.com","True","MAILPSA190","computer","0369a1e6-3191-44d7-95a9-ef7d2dcc1ff2","mailpsa190$","S-1-5-21-839522115-261903793-1417001333-18631",
"CN=mailrelay101,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mailrelay101.atl.careerbuilder.com","True","mailrelay101","computer","0c07c624-3118-45b7-bcdc-34df97ab4abe","mailrelay101$","S-1-5-21-839522115-261903793-1417001333-12632",
"CN=GHQRELAY1,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","ghqrelay1.atl.careerbuilder.com","True","GHQRELAY1","computer","cfa25957-3cb7-4243-b115-f3e4384d94f6","ghqrelay1$","S-1-5-21-839522115-261903793-1417001333-18114",
"CN=BEARPMTA100,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearpmta100.atl.careerbuilder.com","True","BEARPMTA100","computer","e7fa4bfb-07d5-42c6-be23-6a620a230cd0","bearpmta100$","S-1-5-21-839522115-261903793-1417001333-16175",
"CN=BEARPMTA120,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearpmta120.atl.careerbuilder.com","True","BEARPMTA120","computer","33c5545f-7e1a-42e1-b6bb-a411cf38a868","bearpmta120$","S-1-5-21-839522115-261903793-1417001333-16176",
"CN=BEARPMTA110,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearpmta110.atl.careerbuilder.com","True","BEARPMTA110","computer","05913bbb-71c7-4742-9bf2-7c2049690d08","bearpmta110$","S-1-5-21-839522115-261903793-1417001333-15686",
"CN=BEARPMTA200,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearpmta200.atl.careerbuilder.com","True","BEARPMTA200","computer","0bedcf5d-852f-4ff7-ad36-663df4c5b9a9","bearpmta200$","S-1-5-21-839522115-261903793-1417001333-15688",
"CN=BEARPMTA220,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearpmta220.atl.careerbuilder.com","True","BEARPMTA220","computer","ead1e126-5336-4ce6-b493-6b01e242cbcb","bearpmta220$","S-1-5-21-839522115-261903793-1417001333-15689",
"CN=BEARPMTA130,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearpmta130.atl.careerbuilder.com","True","BEARPMTA130","computer","8146e575-81fe-47f0-b4d6-2c5cf57c7a68","bearpmta130$","S-1-5-21-839522115-261903793-1417001333-15687",
"CN=BEARPMTA210,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearpmta210.atl.careerbuilder.com","True","BEARPMTA210","computer","e30891be-4a9b-45b0-9e74-5f1db62bfa1e","bearpmta210$","S-1-5-21-839522115-261903793-1417001333-16177",
"CN=BEARPMTA230,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearpmta230.atl.careerbuilder.com","True","BEARPMTA230","computer","e7477c37-0afc-4283-a897-b8108f910cb9","bearpmta230$","S-1-5-21-839522115-261903793-1417001333-15690",
"CN=RDBRELAY130,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","rdbrelay130.atl.careerbuilder.com","True","RDBRELAY130","computer","78266b9b-ae00-4592-a46b-f68e5296b111","rdbrelay130$","S-1-5-21-839522115-261903793-1417001333-18113",
"CN=RDBRELAY150,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","rdbrelay150.atl.careerbuilder.com","True","RDBRELAY150","computer","a292a0b5-6c94-4f8a-9675-dbf223f10985","rdbrelay150$","S-1-5-21-839522115-261903793-1417001333-18635",
"CN=RDBRELAY120,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","rdbrelay120.atl.careerbuilder.com","True","RDBRELAY120","computer","c32699e0-2abf-41c8-be1a-4573fc90d55a","rdbrelay120$","S-1-5-21-839522115-261903793-1417001333-18112",
"CN=RDBRELAY140,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","rdbrelay140.atl.careerbuilder.com","True","RDBRELAY140","computer","c62875eb-f15d-4f00-9cf9-efbefe4de380","rdbrelay140$","S-1-5-21-839522115-261903793-1417001333-18634",
"CN=smtprelay100,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","smtprelay100.atl.careerbuilder.com","True","smtprelay100","computer","9b592803-962c-418a-9c50-686b3255dd1d","smtprelay100$","S-1-5-21-839522115-261903793-1417001333-11374",
"CN=smtprelay120,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","smtprelay120.atl.careerbuilder.com","True","smtprelay120","computer","8536648a-516e-4573-9146-7b4e0dfa6a3a","smtprelay120$","S-1-5-21-839522115-261903793-1417001333-11373",
"CN=smtprelay140,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","smtprelay140.atl.careerbuilder.com","True","smtprelay140","computer","96f8cd9b-e7f4-4223-a039-a00374fe3c58","smtprelay140$","S-1-5-21-839522115-261903793-1417001333-10739",
"CN=smtprelay101,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","smtprelay101.atl.careerbuilder.com","True","smtprelay101","computer","7c5d0f9b-6d49-498b-8a4c-310913cf6224","smtprelay101$","S-1-5-21-839522115-261903793-1417001333-10738",
"CN=smtprelay130,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","smtprelay130.atl.careerbuilder.com","True","smtprelay130","computer","7d63ca8d-dd8f-4fe4-9d5e-5a6d6e2466ae","smtprelay130$","S-1-5-21-839522115-261903793-1417001333-10740",
"CN=smtprelay150,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","smtprelay150.atl.careerbuilder.com","True","smtprelay150","computer","b4d79260-adb1-4be3-afbd-f38febafde90","smtprelay150$","S-1-5-21-839522115-261903793-1417001333-11372",
"CN=REBELPARSE2,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","rebelparse2.atl.careerbuilder.com","True","REBELPARSE2","computer","d0d67ec1-56ce-49aa-be18-12f4bbfb87d6","rebelparse2$","S-1-5-21-839522115-261903793-1417001333-15265",
"CN=LUIGISTATS,OU=Linux,OU=LUIGI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","luigistats.atl.careerbuilder.com","True","LUIGISTATS","computer","ca5b8a8c-d619-4076-b9cf-8949751f46b0","luigistats$","S-1-5-21-839522115-261903793-1417001333-16318",
"CN=REBELPARSE1,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","rebelparse1.atl.careerbuilder.com","True","REBELPARSE1","computer","3ccc4517-3f3c-4cfd-9b82-79fd7ab6d21e","rebelparse1$","S-1-5-21-839522115-261903793-1417001333-15266",
"CN=AKIRA1,OU=VMWARE,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","akira1.atl.careerbuilder.com","True","AKIRA1","computer","8a07a752-bb14-48d5-9959-8aa4c50b2c85","AKIRA1$","S-1-5-21-839522115-261903793-1417001333-18713",
"CN=QTWPXEHOST,OU=VMWARE,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","qtwpxehost.atl.careerbuilder.com","True","QTWPXEHOST","computer","dd4ba3e6-6e1f-42f3-aca2-8de7c0c1cbef","QTWPXEHOST$","S-1-5-21-839522115-261903793-1417001333-17625",
"CN=CBUTILVMHOST,OU=VMWARE,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","cbutilvmhost.atl.careerbuilder.com","True","CBUTILVMHOST","computer","74021a36-0e83-48f6-8616-009ccbfe65d3","CBUTILVMHOST$","S-1-5-21-839522115-261903793-1417001333-18307",
"CN=BEARSOLRAPIM11,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearsolrapim11.atl.careerbuilder.com","True","BEARSOLRAPIM11","computer","69916e72-7531-42a9-ba88-b8f8ac4b5ca7","bearsolrapim11$","S-1-5-21-839522115-261903793-1417001333-15886",
"CN=REBELVMHOST04,OU=VMWARE,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","rebelvmhost04.atl.careerbuilder.com","True","REBELVMHOST04","computer","f76f6ed4-f611-4d8a-917c-010652e9380e","REBELVMHOST04$","S-1-5-21-839522115-261903793-1417001333-17753",
"CN=QTMDEPLOY1,OU=Utility,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","QTMDEPLOY1.atl.careerbuilder.com","True","QTMDEPLOY1","computer","9af1f542-2073-4639-937f-cedb55257573","QTMDEPLOY1$","S-1-5-21-839522115-261903793-1417001333-18965",
"CN=LUIGIDEPLOY1,OU=Utility,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","LUIGIDEPLOY1.atl.careerbuilder.com","True","LUIGIDEPLOY1","computer","ff068712-d8fd-46ff-ae9e-64d1de4f62b0","LUIGIDEPLOY1$","S-1-5-21-839522115-261903793-1417001333-21611",
"CN=GHQGRAPHOMATIC,OU=Linux,OU=DEV,OU=Servers,DC=atl,DC=careerbuilder,DC=com","ghqgraphomatic.atl.careerbuilder.com","True","GHQGRAPHOMATIC","computer","beea6b63-a183-4fad-aa40-522e2d350879","ghqgraphomatic$","S-1-5-21-839522115-261903793-1417001333-19796",
"CN=HUNGERDR,OU=Clusters,OU=DB Servers,DC=atl,DC=careerbuilder,DC=com","HUNGERDR.atl.careerbuilder.com","True","HUNGERDR","computer","9bec01c8-6b37-421f-a855-cde493179c5c","HUNGERDR$","S-1-5-21-839522115-261903793-1417001333-16314",
"CN=HARRYDR,OU=Clusters,OU=DB Servers,DC=atl,DC=careerbuilder,DC=com","HARRYDR.atl.careerbuilder.com","True","HARRYDR","computer","cfc5f3d0-13a3-4959-bcfd-fe9e2a682547","HARRYDR$","S-1-5-21-839522115-261903793-1417001333-16315",
"CN=CBPXE,OU=Linux,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","cbpxe.atl.careerbuilder.com","True","CBPXE","computer","038fc463-e845-4de7-b17e-8bb8bdfd0de7","cbpxe$","S-1-5-21-839522115-261903793-1417001333-18442",
"CN=MISSION,OU=Clusters,OU=DB Servers,DC=atl,DC=careerbuilder,DC=com","MISSION.atl.careerbuilder.com","True","MISSION","computer","cc700773-23f4-4881-8131-dbe82680bdd6","MISSION$","S-1-5-21-839522115-261903793-1417001333-18870",
"CN=JOHNNY,OU=Clusters,OU=DB Servers,DC=atl,DC=careerbuilder,DC=com","JOHNNY.atl.careerbuilder.com","True","JOHNNY","computer","7cff730e-574f-483b-884f-2c6d4b717662","JOHNNY$","S-1-5-21-839522115-261903793-1417001333-18231",
"CN=CAPTAIN,OU=Clusters,OU=DB Servers,DC=atl,DC=careerbuilder,DC=com","CAPTAIN.atl.careerbuilder.com","True","CAPTAIN","computer","edd19e3b-89fc-4db5-af51-3edb3b493456","CAPTAIN$","S-1-5-21-839522115-261903793-1417001333-18279",
"CN=STAR,OU=Clusters,OU=DB Servers,DC=atl,DC=careerbuilder,DC=com","STAR.atl.careerbuilder.com","True","STAR","computer","62bd87f8-2f35-4601-aa2d-9b26c19201bf","STAR$","S-1-5-21-839522115-261903793-1417001333-18860",
"CN=DEVLMEMS,OU=Linux,OU=DEV,OU=Servers,DC=atl,DC=careerbuilder,DC=com","DEVLMEMS.atl.careerbuilder.com","True","DEVLMEMS","computer","9bd23a5d-9fb2-4114-a36b-716ac22f219e","DEVLMEMS$","S-1-5-21-839522115-261903793-1417001333-19297",
"CN=QTWSTRATUSM1,OU=Linux,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","qtwstratusm1.atl.careerbuilder.com","True","QTWSTRATUSM1","computer","779a3158-21c3-4b23-aa50-1e08c5174e3b","qtwstratusm1$","S-1-5-21-839522115-261903793-1417001333-15389",
"CN=bearsolrdpm1,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearsolrdpm1.atl.careerbuilder.com","True","bearsolrdpm1","computer","da4d7e59-0bac-4645-8431-9e9b2252ba92","bearsolrdpm1$","S-1-5-21-839522115-261903793-1417001333-16168",
"CN=QTMJAPIMDB2,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","qtmjapimdb2.atl.careerbuilder.com","True","QTMJAPIMDB2","computer","9e5b58ae-e817-4b81-9f9f-6503d1053a15","qtmjapimdb2$","S-1-5-21-839522115-261903793-1417001333-20195",
"CN=QTMJAPIMDB1,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","qtmjapimdb1.atl.careerbuilder.com","True","QTMJAPIMDB1","computer","03814cc1-3360-41af-b65e-2e41c5242d09","qtmjapimdb1$","S-1-5-21-839522115-261903793-1417001333-20196",
"CN=QTWJAPI2,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","qtwjapi2.atl.careerbuilder.com","True","QTWJAPI2","computer","20c3eb2e-a57e-4bd2-b3b3-091264eaef43","qtwjapi2$","S-1-5-21-839522115-261903793-1417001333-22124",
"CN=AMSTELPXE,OU=Linux,OU=EU,OU=Servers,DC=atl,DC=careerbuilder,DC=com","amstelpxe.atl.careerbuilder.com","True","AMSTELPXE","computer","c9f07991-4197-45cd-b188-312560e32bac","amstelpxe$","S-1-5-21-839522115-261903793-1417001333-16642",
"CN=REBELSOLRDP22,OU=Linux,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","rebelsolrdp22.atl.careerbuilder.com","True","REBELSOLRDP22","computer","6133098f-a14e-4035-8c8a-9f8dbd071d6d","rebelsolrdp22$","S-1-5-21-839522115-261903793-1417001333-15407",
"CN=REBELSOLRDP23,OU=Linux,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","rebelsolrdp23.atl.careerbuilder.com","True","REBELSOLRDP23","computer","85fe2b80-e11f-4c52-921a-4cf1262b9b51","rebelsolrdp23$","S-1-5-21-839522115-261903793-1417001333-15408",
"CN=REBELSOLRDP24,OU=Linux,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","rebelsolrdp24.atl.careerbuilder.com","True","REBELSOLRDP24","computer","c3359c1d-46fc-4945-bc5d-6756790fe5ff","rebelsolrdp24$","S-1-5-21-839522115-261903793-1417001333-17809",
"CN=REBELSOLRDP25,OU=Linux,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","rebelsolrdp25.atl.careerbuilder.com","True","REBELSOLRDP25","computer","b598219f-5ee9-4e66-a72f-5dc97d6f82bb","rebelsolrdp25$","S-1-5-21-839522115-261903793-1417001333-15409",
"CN=BEARSOLRDP22,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearsolrdp22.atl.careerbuilder.com","True","BEARSOLRDP22","computer","cce397dc-8623-4e30-adfb-092e13ff9d4e","bearsolrdp22$","S-1-5-21-839522115-261903793-1417001333-16392",
"CN=BEARSOLRDP23,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearsolrdp23.atl.careerbuilder.com","True","BEARSOLRDP23","computer","6a87e88f-ed18-43fc-b38c-5581848c6d20","bearsolrdp23$","S-1-5-21-839522115-261903793-1417001333-15927",
"CN=BEARSOLRDP24,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearsolrdp24.atl.careerbuilder.com","True","BEARSOLRDP24","computer","4399247f-0c82-4bd8-bb93-d79ad56d38e5","bearsolrdp24$","S-1-5-21-839522115-261903793-1417001333-16393",
"CN=BEARSOLRDP25,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearsolrdp25.atl.careerbuilder.com","True","BEARSOLRDP25","computer","db04bdc5-dd1b-4afe-ab98-d99f5b28cf46","bearsolrdp25$","S-1-5-21-839522115-261903793-1417001333-15928",
"CN=BEARSOLRRES14,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearsolrres14.atl.careerbuilder.com","True","BEARSOLRRES14","computer","29ca4e73-797f-44d0-a0da-0beab3541902","bearsolrres14$","S-1-5-21-839522115-261903793-1417001333-16304",
"CN=BEARSOLRRES15,OU=Linux,OU=CHI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","bearsolrres15.atl.careerbuilder.com","True","BEARSOLRRES15","computer","7d8329c3-6bb5-4c07-b1ac-caa5b252d4d1","bearsolrres15$","S-1-5-21-839522115-261903793-1417001333-15840",
"CN=QTM-NS-STORAGE,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","qtm-ns-storage.atl.careerbuilder.com","True","QTM-NS-STORAGE","computer","47364d62-7b19-4df4-80f1-b77b33ad5c4a","qtm-ns-storage$","S-1-5-21-839522115-261903793-1417001333-20266",
"CN=REBELPXE,OU=Linux,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","rebelpxe.atl.careerbuilder.com","True","REBELPXE","computer","ac40f26a-eb18-4b8e-8ca8-b9c02f158e21","rebelpxe$","S-1-5-21-839522115-261903793-1417001333-15217",
